nohup: ignoring input
Initializing best model from attempt_14b_epoch032.pt

================================================================================
SELF-PLAY TRAINING PIPELINE
================================================================================
Work directory: selfplay_run01
Best model: selfplay_run01/models/best_model.pt
Replay buffer: selfplay_run01/replay_buffer.csv
Device: cuda

Configuration:
  Iterations: 50
  Games per iteration: 1000
  Training batches: 5000
  Batch size: 256
  Learning rate: 0.0001
  Evaluation games: 40
  Win threshold: 55%
  Self-play simulations: 400
  Eval simulations: 400
  MCTS leaf-parallel batch: 128
  NN forward batch: 512
  Early-exit min sims: 200
  Parallel self-play workers: 24
================================================================================


================================================================================
ITERATION 1/50
================================================================================

[1/4] Generating 1000 self-play games...
Generating 1000 self-play games...
MCTS config: simulations=400, batch=128, cpuct=2.0
Parallel workers: 24
Output: selfplay_run01/selfplay_games/iteration_0000.csv

[71/1000] Game 69: 0-1, 106 positions, 11.4s, 9.3 moves/s
[72/1000] Game 75: 0-1, 96 positions, 10.3s, 9.3 moves/s
[73/1000] Game 70: 1/2-1/2, 119 positions, 12.2s, 9.7 moves/s
[74/1000] Game 73: 0-1, 108 positions, 11.0s, 9.8 moves/s
[75/1000] Game 79: 1-0, 83 positions, 8.7s, 9.6 moves/s
[76/1000] Game 80: 1-0, 83 positions, 9.4s, 8.8 moves/s
[77/1000] Game 71: 0-1, 126 positions, 12.9s, 9.8 moves/s
[78/1000] Game 87: 1-0, 61 positions, 6.4s, 9.5 moves/s
[79/1000] Game 66: 1/2-1/2, 149 positions, 14.7s, 10.1 moves/s
[80/1000] Game 82: 1/2-1/2, 98 positions, 9.9s, 9.9 moves/s
[81/1000] Game 85: 1-0, 69 positions, 8.1s, 8.5 moves/s
[82/1000] Game 86: 1/2-1/2, 65 positions, 7.3s, 8.9 moves/s
[83/1000] Game 81: 0-1, 108 positions, 10.8s, 10.0 moves/s
[84/1000] Game 67: 1/2-1/2, 148 positions, 15.3s, 9.7 moves/s
[85/1000] Game 95: 1/2-1/2, 46 positions, 3.7s, 12.3 moves/s
[86/1000] Game 83: 1/2-1/2, 123 positions, 11.6s, 10.6 moves/s
[87/1000] Game 76: 1/2-1/2, 149 positions, 14.7s, 10.1 moves/s
[88/1000] Game 91: 1/2-1/2, 79 positions, 7.7s, 10.3 moves/s
[89/1000] Game 94: 0-1, 66 positions, 7.0s, 9.5 moves/s
[90/1000] Game 84: 1-0, 121 positions, 12.3s, 9.9 moves/s
[91/1000] Game 90: 0-1, 92 positions, 9.4s, 9.8 moves/s
[92/1000] Game 89: 0-1, 106 positions, 9.8s, 10.8 moves/s
[93/1000] Game 93: 0-1, 92 positions, 8.9s, 10.4 moves/s
[94/1000] Game 88: 1-0, 91 positions, 10.2s, 9.0 moves/s
[95/1000] Game 96: 1/2-1/2, 74 positions, 7.1s, 10.5 moves/s
[96/1000] Game 102: 1/2-1/2, 50 positions, 5.0s, 9.9 moves/s
[97/1000] Game 104: 0-1, 48 positions, 5.3s, 9.1 moves/s
[98/1000] Game 98: 0-1, 88 positions, 8.6s, 10.2 moves/s
[99/1000] Game 100: 1/2-1/2, 80 positions, 7.9s, 10.2 moves/s
[100/1000] Game 105: 1-0, 67 positions, 6.9s, 9.7 moves/s
[101/1000] Game 99: 1/2-1/2, 87 positions, 9.4s, 9.2 moves/s
[102/1000] Game 92: 1/2-1/2, 124 positions, 12.5s, 9.9 moves/s
[103/1000] Game 103: 0-1, 88 positions, 8.2s, 10.7 moves/s
[104/1000] Game 109: 1/2-1/2, 86 positions, 8.1s, 10.7 moves/s
[105/1000] Game 101: 0-1, 84 positions, 9.6s, 8.7 moves/s
[106/1000] Game 97: 1/2-1/2, 113 positions, 12.2s, 9.3 moves/s
[107/1000] Game 117: 1-0, 55 positions, 6.0s, 9.2 moves/s
[108/1000] Game 106: 1-0, 93 positions, 10.2s, 9.1 moves/s
[109/1000] Game 108: 0-1, 100 positions, 9.8s, 10.2 moves/s
[110/1000] Game 113: 1/2-1/2, 96 positions, 7.6s, 12.6 moves/s
[111/1000] Game 110: 0-1, 84 positions, 9.3s, 9.1 moves/s
[112/1000] Game 112: 1/2-1/2, 80 positions, 8.8s, 9.1 moves/s
[113/1000] Game 120: 1/2-1/2, 69 positions, 6.9s, 10.0 moves/s
[114/1000] Game 119: 1-0, 75 positions, 7.6s, 9.9 moves/s
[115/1000] Game 107: 1-0, 113 positions, 12.3s, 9.2 moves/s
[116/1000] Game 111: 0-1, 104 positions, 10.9s, 9.5 moves/s
[117/1000] Game 118: 1/2-1/2, 86 positions, 8.7s, 9.9 moves/s
[118/1000] Game 125: 1/2-1/2, 67 positions, 6.2s, 10.8 moves/s
[119/1000] Game 116: 0-1, 88 positions, 9.7s, 9.1 moves/s
[120/1000] Game 115: 1/2-1/2, 119 positions, 11.9s, 10.0 moves/s
[121/1000] Game 127: 1-0, 87 positions, 8.0s, 10.9 moves/s
[122/1000] Game 114: 1/2-1/2, 124 positions, 12.9s, 9.6 moves/s
[123/1000] Game 137: 1/2-1/2, 47 positions, 5.1s, 9.3 moves/s
[124/1000] Game 130: 1/2-1/2, 75 positions, 7.2s, 10.3 moves/s
[125/1000] Game 129: 1-0, 89 positions, 8.4s, 10.6 moves/s
[126/1000] Game 121: 1/2-1/2, 141 positions, 12.7s, 11.1 moves/s
[127/1000] Game 132: 1/2-1/2, 82 positions, 8.3s, 9.9 moves/s
[128/1000] Game 126: 0-1, 132 positions, 11.4s, 11.6 moves/s
[129/1000] Game 135: 1/2-1/2, 77 positions, 7.7s, 10.0 moves/s
[130/1000] Game 123: 1/2-1/2, 120 positions, 12.3s, 9.7 moves/s
[131/1000] Game 122: 1-0, 131 positions, 13.5s, 9.7 moves/s
[132/1000] Game 131: 1-0, 107 positions, 10.0s, 10.7 moves/s
[133/1000] Game 128: 1/2-1/2, 118 positions, 11.8s, 10.0 moves/s
[134/1000] Game 134: 1-0, 95 positions, 10.6s, 9.0 moves/s
[135/1000] Game 138: 1-0, 95 positions, 10.5s, 9.1 moves/s
[136/1000] Game 150: 1/2-1/2, 47 positions, 5.7s, 8.2 moves/s
[137/1000] Game 136: 0-1, 120 positions, 12.4s, 9.6 moves/s
[138/1000] Game 124: 1/2-1/2, 182 positions, 17.1s, 10.7 moves/s
[139/1000] Game 133: 1/2-1/2, 137 positions, 13.8s, 9.9 moves/s
[140/1000] Game 142: 1/2-1/2, 116 positions, 10.9s, 10.6 moves/s
[141/1000] Game 143: 1/2-1/2, 99 positions, 10.8s, 9.2 moves/s
[142/1000] Game 141: 0-1, 112 positions, 11.6s, 9.6 moves/s
[143/1000] Game 152: 1-0, 51 positions, 5.7s, 8.9 moves/s
[144/1000] Game 151: 0-1, 60 positions, 6.3s, 9.5 moves/s
[145/1000] Game 139: 1-0, 125 positions, 13.2s, 9.5 moves/s
[146/1000] Game 153: 1/2-1/2, 76 positions, 7.3s, 10.4 moves/s
[147/1000] Game 147: 1/2-1/2, 110 positions, 9.8s, 11.2 moves/s
[148/1000] Game 140: 1/2-1/2, 146 positions, 14.4s, 10.1 moves/s
[149/1000] Game 146: 1/2-1/2, 96 positions, 11.1s, 8.7 moves/s
[150/1000] Game 144: 1-0, 113 positions, 11.9s, 9.5 moves/s
[151/1000] Game 154: 1-0, 91 positions, 9.2s, 9.8 moves/s
[152/1000] Game 148: 1-0, 125 positions, 11.6s, 10.7 moves/s
[153/1000] Game 145: 1-0, 133 positions, 13.4s, 10.0 moves/s
[154/1000] Game 162: 1-0, 65 positions, 6.9s, 9.4 moves/s
[155/1000] Game 161: 1-0, 69 positions, 7.2s, 9.6 moves/s
[156/1000] Game 149: 1/2-1/2, 127 positions, 13.8s, 9.2 moves/s
[157/1000] Game 159: 1/2-1/2, 95 positions, 9.1s, 10.5 moves/s
[158/1000] Game 165: 0-1, 90 positions, 7.3s, 12.4 moves/s
[159/1000] Game 158: 1-0, 103 positions, 10.4s, 9.9 moves/s
[160/1000] Game 166: 0-1, 76 positions, 7.5s, 10.1 moves/s
[161/1000] Game 168: 1-0, 79 positions, 7.8s, 10.2 moves/s
[162/1000] Game 156: 1/2-1/2, 128 positions, 12.7s, 10.1 moves/s
[163/1000] Game 157: 0-1, 116 positions, 12.5s, 9.3 moves/s
[164/1000] Game 170: 1/2-1/2, 70 positions, 7.0s, 10.0 moves/s
[165/1000] Game 160: 1/2-1/2, 96 positions, 10.5s, 9.2 moves/s
[166/1000] Game 155: 1/2-1/2, 139 positions, 14.1s, 9.9 moves/s
[167/1000] Game 169: 1-0, 91 positions, 8.4s, 10.8 moves/s
