nohup: ignoring input
Initializing best model from attempt_14b_epoch032.pt
Initializing training trunk from attempt_14b_epoch032.pt

================================================================================
SELF-PLAY TRAINING PIPELINE
================================================================================
Work directory: selfplay_run03
Best model: selfplay_run03/models/best_model.pt
Replay buffer: selfplay_run03/replay_buffer.csv
Device: cuda

Configuration:
  Iterations: 50
  Games per iteration: 1000
  Training batches: 2000
  Batch size: 256
  Learning rate: 0.0001
  Evaluation games: 50
  Win threshold: 55%
  Self-play simulations: 400
  Eval simulations: 400
  MCTS leaf-parallel batch: 128
  NN forward batch: 512
  Early-exit min sims: 200
  Parallel self-play workers: 24
  Parallel eval workers: 12
  Pre-fill iterations: 5
================================================================================


================================================================================
PRE-FILL PHASE (5 iterations of self-play, no training)
================================================================================


[PREFILL 1/5] Generating 1000 self-play games...
Generating 1000 self-play games...
MCTS config: simulations=400, batch=128, cpuct=2.0
Parallel workers: 24
Output: selfplay_run03/selfplay_games/prefill_0000.csv

[1/1000] Game 10: 0-1, 26 positions, 26.4s, 1.0 moves/s
[2/1000] Game 13: 1/2-1/2, 51 positions, 29.1s, 1.8 moves/s
[3/1000] Game 18: 1-0, 45 positions, 29.1s, 1.5 moves/s
[4/1000] Game 11: 0-1, 50 positions, 29.8s, 1.7 moves/s
[5/1000] Game 15: 0-1, 56 positions, 30.0s, 1.9 moves/s
[6/1000] Game 7: 1/2-1/2, 71 positions, 31.1s, 2.3 moves/s
[7/1000] Game 3: 1/2-1/2, 74 positions, 31.9s, 2.3 moves/s
[8/1000] Game 1: 1-0, 77 positions, 36.2s, 2.1 moves/s
[9/1000] Game 14: 1-0, 77 positions, 32.2s, 2.4 moves/s
[10/1000] Game 20: 0-1, 76 positions, 32.7s, 2.3 moves/s
[11/1000] Game 4: 1/2-1/2, 78 positions, 33.7s, 2.3 moves/s
[12/1000] Game 22: 0-1, 86 positions, 33.6s, 2.6 moves/s
[13/1000] Game 34: 0-1, 18 positions, 1.6s, 11.6 moves/s
[14/1000] Game 17: 1/2-1/2, 101 positions, 34.7s, 2.9 moves/s
[15/1000] Game 23: 1-0, 99 positions, 35.0s, 2.8 moves/s
[16/1000] Game 21: 1/2-1/2, 107 positions, 35.2s, 3.0 moves/s
[17/1000] Game 6: 1-0, 89 positions, 35.6s, 2.5 moves/s
[18/1000] Game 2: 1/2-1/2, 108 positions, 37.9s, 2.8 moves/s
[19/1000] Game 24: 1-0, 97 positions, 36.1s, 2.7 moves/s
[20/1000] Game 9: 0-1, 102 positions, 36.6s, 2.8 moves/s
[21/1000] Game 5: 1/2-1/2, 105 positions, 36.9s, 2.8 moves/s
[22/1000] Game 8: 1/2-1/2, 114 positions, 36.8s, 3.1 moves/s
[23/1000] Game 12: 1/2-1/2, 114 positions, 37.1s, 3.1 moves/s
