nohup: ignoring input
Initializing best model from attempt_14b_epoch032.pt
Initializing training trunk from attempt_14b_epoch032.pt

================================================================================
SELF-PLAY TRAINING PIPELINE
================================================================================
Work directory: selfplay_run10
Best model: selfplay_run10/models/best_model.pt
Replay buffer: selfplay_run10/replay_buffer.csv
Device: cuda

Configuration:
  Iterations: 50
  Games per iteration: 1000
  Training batches: 2000
  Batch size: 256
  Learning rate: 3e-05
  Evaluation games: 500
  Win threshold: 52%
  Self-play simulations: 800
  Dirichlet noise: alpha=0.3, epsilon=0.25
  Eval simulations: 800
  cpuct: 1.25
  MCTS leaf-parallel batch: 128
  NN forward batch: 512
  Early-exit min sims: 400
  Parallel self-play workers: 24
  Parallel eval workers: 24
  Pre-fill iterations: 4
  Pre-fill cache dir: prefill_cache_800_direchlet_cpucut_1_25
================================================================================


================================================================================
PRE-FILL PHASE (4 iterations of self-play, no training)
  Prefill data dir: prefill_cache_800_direchlet_cpucut_1_25
================================================================================


[PREFILL 1/4] Generating 1000 self-play games -> prefill_cache_800_direchlet_cpucut_1_25/prefill_0000.csv
Generating 1000 self-play games...
MCTS config: simulations=800, batch=128, cpuct=1.25
Exploration: dirichlet_alpha=0.3, dirichlet_epsilon=0.25
Parallel workers: 24
Output: prefill_cache_800_direchlet_cpucut_1_25/prefill_0000.csv

[65/1000] Game 63: 0-1, 118 positions, 21.7s, 5.4 moves/s
[66/1000] Game 59: 1/2-1/2, 119 positions, 23.9s, 5.0 moves/s
[67/1000] Game 58: 1-0, 133 positions, 25.4s, 5.2 moves/s
[68/1000] Game 61: 1-0, 133 positions, 25.3s, 5.3 moves/s
[69/1000] Game 68: 0-1, 106 positions, 21.1s, 5.0 moves/s
[70/1000] Game 82: 1/2-1/2, 53 positions, 9.6s, 5.5 moves/s
[71/1000] Game 80: 1-0, 67 positions, 14.9s, 4.5 moves/s
[72/1000] Game 69: 0-1, 116 positions, 22.1s, 5.3 moves/s
[73/1000] Game 60: 1-0, 141 positions, 29.9s, 4.7 moves/s
[74/1000] Game 87: 0-1, 64 positions, 9.7s, 6.6 moves/s
[75/1000] Game 73: 1/2-1/2, 104 positions, 22.1s, 4.7 moves/s
[76/1000] Game 70: 0-1, 116 positions, 24.7s, 4.7 moves/s
[77/1000] Game 81: 0-1, 72 positions, 16.8s, 4.3 moves/s
[78/1000] Game 78: 1-0, 103 positions, 20.1s, 5.1 moves/s
[79/1000] Game 85: 1-0, 53 positions, 13.1s, 4.0 moves/s
[80/1000] Game 76: 0-1, 112 positions, 21.3s, 5.3 moves/s
[81/1000] Game 75: 1/2-1/2, 102 positions, 23.1s, 4.4 moves/s
[82/1000] Game 84: 1-0, 75 positions, 15.3s, 4.9 moves/s
[83/1000] Game 74: 0-1, 122 positions, 25.4s, 4.8 moves/s
[84/1000] Game 79: 1-0, 129 positions, 23.8s, 5.4 moves/s
[85/1000] Game 88: 0-1, 82 positions, 16.2s, 5.0 moves/s
[86/1000] Game 86: 1/2-1/2, 91 positions, 17.8s, 5.1 moves/s
[87/1000] Game 93: 1/2-1/2, 52 positions, 12.8s, 4.1 moves/s
[88/1000] Game 77: 1-0, 161 positions, 30.1s, 5.4 moves/s
[89/1000] Game 92: 1-0, 107 positions, 20.4s, 5.2 moves/s
[90/1000] Game 94: 0-1, 80 positions, 17.2s, 4.6 moves/s
[91/1000] Game 83: 0-1, 144 positions, 27.6s, 5.2 moves/s
[92/1000] Game 89: 0-1, 118 positions, 26.2s, 4.5 moves/s
[93/1000] Game 100: 1/2-1/2, 72 positions, 16.8s, 4.3 moves/s
[94/1000] Game 103: 0-1, 106 positions, 17.7s, 6.0 moves/s
[95/1000] Game 105: 1/2-1/2, 86 positions, 18.0s, 4.8 moves/s
[96/1000] Game 91: 1/2-1/2, 140 positions, 29.2s, 4.8 moves/s
[97/1000] Game 99: 0-1, 110 positions, 20.3s, 5.4 moves/s
[98/1000] Game 104: 1-0, 97 positions, 20.6s, 4.7 moves/s
[99/1000] Game 108: 0-1, 92 positions, 18.5s, 5.0 moves/s
[100/1000] Game 95: 0-1, 130 positions, 27.5s, 4.7 moves/s
[101/1000] Game 112: 0-1, 52 positions, 13.9s, 3.8 moves/s
[102/1000] Game 98: 1-0, 127 positions, 25.4s, 5.0 moves/s
[103/1000] Game 96: 1/2-1/2, 116 positions, 29.2s, 4.0 moves/s
