[53/800] Game 56: 1-0, 111 positions, 82.9s, 1.3 moves/s
[54/800] Game 47: 1/2-1/2, 208 positions, 134.9s, 1.5 moves/s
[55/800] Game 60: 0-1, 106 positions, 76.7s, 1.4 moves/s
[56/800] Game 63: 1-0, 97 positions, 77.1s, 1.3 moves/s
[57/800] Game 55: 1-0, 165 positions, 112.7s, 1.5 moves/s
[58/800] Game 57: 1-0, 147 positions, 103.1s, 1.4 moves/s
[59/800] Game 68: 1-0, 65 positions, 55.5s, 1.2 moves/s
[60/800] Game 59: 1-0, 135 positions, 94.0s, 1.4 moves/s
[61/800] Game 62: 1/2-1/2, 111 positions, 86.5s, 1.3 moves/s
[62/800] Game 64: 1-0, 105 positions, 84.7s, 1.2 moves/s
[63/800] Game 61: 0-1, 118 positions, 94.8s, 1.2 moves/s
[64/800] Game 69: 0-1, 80 positions, 68.3s, 1.2 moves/s
[65/800] Game 75: 1/2-1/2, 77 positions, 49.3s, 1.6 moves/s
[66/800] Game 53: 1-0, 193 positions, 148.5s, 1.3 moves/s
[67/800] Game 58: 0-1, 170 positions, 122.4s, 1.4 moves/s
[68/800] Game 67: 0-1, 124 positions, 95.9s, 1.3 moves/s
[69/800] Game 71: 1/2-1/2, 115 positions, 82.2s, 1.4 moves/s
[70/800] Game 65: 1-0, 157 positions, 115.6s, 1.4 moves/s
[71/800] Game 84: 1/2-1/2, 75 positions, 59.2s, 1.3 moves/s
[72/800] Game 70: 0-1, 150 positions, 108.6s, 1.4 moves/s
[73/800] Game 66: 0-1, 194 positions, 129.5s, 1.5 moves/s
[74/800] Game 77: 0-1, 140 positions, 107.4s, 1.3 moves/s
[75/800] Game 80: 1/2-1/2, 117 positions, 93.7s, 1.2 moves/s
[76/800] Game 76: 1-0, 151 positions, 113.2s, 1.3 moves/s
[77/800] Game 83: 1/2-1/2, 132 positions, 90.3s, 1.5 moves/s
[78/800] Game 74: 1-0, 147 positions, 117.8s, 1.2 moves/s
[79/800] Game 87: 1-0, 109 positions, 83.7s, 1.3 moves/s
[80/800] Game 79: 0-1, 144 positions, 107.6s, 1.3 moves/s
[81/800] Game 86: 0-1, 116 positions, 91.7s, 1.3 moves/s
[82/800] Game 78: 0-1, 158 positions, 114.8s, 1.4 moves/s
[83/800] Game 72: 1/2-1/2, 175 positions, 133.4s, 1.3 moves/s
[84/800] Game 82: 1/2-1/2, 140 positions, 99.3s, 1.4 moves/s
[85/800] Game 81: 1/2-1/2, 149 positions, 103.5s, 1.4 moves/s
[86/800] Game 89: 1-0, 119 positions, 82.8s, 1.4 moves/s
[87/800] Game 88: 1/2-1/2, 140 positions, 89.8s, 1.6 moves/s
[88/800] Game 73: 1/2-1/2, 196 positions, 147.8s, 1.3 moves/s
[89/800] Game 85: 0-1, 162 positions, 126.8s, 1.3 moves/s
[90/800] Game 95: 1/2-1/2, 111 positions, 71.5s, 1.6 moves/s
[91/800] Game 92: 0-1, 120 positions, 98.6s, 1.2 moves/s
[92/800] Game 91: 1-0, 141 positions, 110.2s, 1.3 moves/s
[93/800] Game 93: 0-1, 136 positions, 102.0s, 1.3 moves/s
[94/800] Game 101: 0-1, 82 positions, 59.8s, 1.4 moves/s
[95/800] Game 103: 1/2-1/2, 71 positions, 59.7s, 1.2 moves/s
[96/800] Game 110: 1-0, 69 positions, 48.2s, 1.4 moves/s
[97/800] Game 96: 1-0, 129 positions, 102.5s, 1.3 moves/s
[98/800] Game 99: 0-1, 118 positions, 86.9s, 1.4 moves/s
[99/800] Game 98: 1/2-1/2, 122 positions, 90.7s, 1.3 moves/s
